contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct
SPY251007C00664000,2025-10-03 20:05:52+00:00,664.0,5.99,5.99,6.07,-0.8800001,-12.809319,196.0,553,0.0868011242675781,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0078464186335183,0.08000000000000007,0.013355592654424051
SPY251007C00665000,2025-10-03 20:10:12+00:00,665.0,5.14,5.14,5.22,-1.0999999,-17.628204,943.0,1234,0.0830780169677734,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0063308601092575,0.08000000000000007,0.015564202334630364
SPY251007C00666000,2025-10-03 19:48:34+00:00,666.0,4.48,4.35,4.41,-0.9899998,-18.098717,513.0,501,0.0795990478515625,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0048198528117962,0.0600000000000005,0.013392857142857253
SPY251007C00667000,2025-10-03 20:14:57+00:00,667.0,3.59,3.58,3.64,-0.99,-21.61572,1013.0,1207,0.0760590441894531,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.003313376270849,0.06000000000000005,0.016713091922005586
SPY251007C00668000,2025-10-03 20:14:22+00:00,668.0,2.82,2.89,2.92,-1.04,-26.943007,4495.0,2804,0.0725190405273437,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.001811410138707,0.029999999999999805,0.010638297872340358
SPY251007C00669000,2025-10-03 20:14:20+00:00,669.0,2.21,2.25,2.29,-1.03,-31.790123,5366.0,2008,0.0698945550537109,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0003139341893217,0.040000000000000036,0.018099547511312233
SPY251007C00670000,2025-10-03 20:14:56+00:00,670.0,1.72,1.7,1.73,-0.89999986,-34.35114,15472.0,4236,0.0672090350341797,False,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,0.9988209283173974,0.030000000000000027,0.017441860465116296
SPY251007C00671000,2025-10-03 20:14:46+00:00,671.0,1.23,1.23,1.26,-0.8399999,-40.57971,15001.0,488,0.064889722290039,False,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,0.9973323725374906,0.030000000000000027,0.024390243902439046
SPY251007C00672000,2025-10-03 20:14:54+00:00,672.0,0.86,0.86,0.88,-0.74,-46.25,20979.0,734,0.0628755822753906,False,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,0.9958482469831196,0.020000000000000018,0.023255813953488393
SPY251007C00673000,2025-10-03 20:14:18+00:00,673.0,0.55,0.57,0.59,-0.64000005,-53.781517,8794.0,1205,0.0611666149902343,False,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,0.9943685319058784,0.020000000000000018,0.03636363636363639
