contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct,computed_iv,iv_diff,moneyness_bin,tte_bin
SPY251006P00661000,2025-10-03 20:14:58+00:00,661.0,0.32,0.31,0.32,-0.29000002,-47.540985,20587.0,2215,0.0933928552246093,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0124206081280729,0.01,0.03125,0.13373791035052754,0.04034505512591824,"(0.95, 1.05]","(0, 30]"
SPY251006P00662000,2025-10-03 20:14:57+00:00,662.0,0.36,0.36,0.37,-0.32,-47.058823,17205.0,1381,0.0886321606445312,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0108912718620184,0.01,0.0277777777777778,0.12608631506313253,0.03745415441860134,"(0.95, 1.05]","(0, 30]"
SPY251006P00663000,2025-10-03 20:14:55+00:00,663.0,0.42,0.41,0.43,-0.35999998,-46.153847,34475.0,1991,0.0837493969726562,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0093665489783654,0.02,0.0476190476190476,0.11935697673746128,0.03560757976480508,"(0.95, 1.05]","(0, 30]"
SPY251006P00664000,2025-10-03 20:14:55+00:00,664.0,0.5,0.49,0.51,-0.39999998,-44.444443,38762.0,2827,0.0789887023925781,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0078464186335183,0.02,0.04,0.11296576843324128,0.03397706604066318,"(0.95, 1.05]","(0, 30]"
SPY251006P00665000,2025-10-03 20:14:57+00:00,665.0,0.6,0.59,0.6,-0.44999993,-42.857136,46183.0,4890,0.0737397314453125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0063308601092575,0.01,0.0166666666666666,0.10641700329979006,0.032677271854477566,"(0.95, 1.05]","(0, 30]"
SPY251006P00666000,2025-10-03 20:14:58+00:00,666.0,0.74,0.72,0.74,-0.48000002,-39.34426,42062.0,4559,0.0694673132324218,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0048198528117962,0.02,0.027027027027027,0.10055874432183493,0.03109143108941312,"(0.95, 1.05]","(0, 30]"
SPY251006P00667000,2025-10-03 20:14:58+00:00,667.0,0.92,0.91,0.93,-0.54,-36.9863,46708.0,4452,0.065439033203125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.003313376270849,0.02,0.0217391304347826,0.09460116865628156,0.02916213545315656,"(0.95, 1.05]","(0, 30]"
SPY251006P00668000,2025-10-03 20:14:58+00:00,668.0,1.17,1.16,1.18,-0.57000005,-32.75862,83351.0,3833,0.061532822265625,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.001811410138707,0.02,0.0170940170940171,0.0894492665645672,0.027916444298942196,"(0.95, 1.05]","(0, 30]"
SPY251006P00669000,2025-10-03 20:14:56+00:00,669.0,1.51,1.51,1.54,-0.53,-25.98039,108783.0,3586,0.0587862677001953,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0003139341893217,0.03,0.0198675496688741,0.08514912620614744,0.026362858505952137,"(0.95, 1.05]","(0, 30]"
SPY251006P00670000,2025-10-03 20:14:58+00:00,670.0,1.97,1.98,2.02,-0.48000002,-19.591837,132666.0,2741,0.0570162658691406,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9988209283173974,0.04,0.0203045685279188,0.08235184097017112,0.025335575101030516,"(0.95, 1.05]","(0, 30]"
