contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness
SPY251003C00631000,2025-10-02 14:52:14+00:00,631.0,39.18,36.49,39.3,1.9399986,5.2094483,29.0,337,0.8193377441406249,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0605547099408181
SPY251003C00632000,2025-10-03 14:08:50+00:00,632.0,38.46,35.49,38.3,1.1599998,3.1099193,6.0,255,0.8027363476562499,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.058876617045342
SPY251003C00633000,2025-10-03 17:28:22+00:00,633.0,37.38,34.49,37.3,0.75,2.047502,7.0,271,0.7861349511718749,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0572038261811316
SPY251003C00634000,2025-10-02 18:05:01+00:00,634.0,35.5,33.49,36.19,0.15000153,0.42433247,8.0,360,0.7487818090820313,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0555363122597101
SPY251003C00635000,2025-10-03 17:50:48+00:00,635.0,34.5,32.49,35.3,0.060001373,0.17422003,45.0,478,0.7524438818359375,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0538740503506399
SPY251003C00636000,2025-10-03 19:33:49+00:00,636.0,33.14,31.49,34.3,-0.58000183,-1.7200528,23.0,400,0.735354208984375,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.052217015680277
SPY251003C00637000,2025-10-03 19:55:39+00:00,637.0,32.29,30.5,33.3,1.1600018,3.7263148,4.0,238,0.7182645361328125,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0505651836305436
SPY251003C00638000,2025-10-03 18:41:24+00:00,638.0,32.55,29.49,32.3,0.87999916,2.7786522,14.0,273,0.7014190014648438,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0489185297377057
SPY251003C00639000,2025-10-03 17:15:52+00:00,639.0,30.11,28.49,31.3,1.25,4.331254,19.0,423,0.6843293286132813,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0472770296911678
SPY251003C00640000,2025-10-03 19:53:28+00:00,640.0,29.52,27.49,30.3,-0.020000458,-0.067706354,498.0,1040,0.6669955175781253,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0456406593322753
SPY251003C00641000,2025-10-03 18:08:21+00:00,641.0,27.41,26.49,29.3,-1.8600006,-6.3546314,5.0,188,0.6499058447265625,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.04400939465313
SPY251003C00642000,2025-10-03 19:59:34+00:00,642.0,27.03,25.49,28.3,0.710001,2.6975722,35.0,598,0.6325720336914062,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0423832117954148
SPY251003C00643000,2025-10-03 19:30:02+00:00,643.0,26.74,24.49,27.3,0.15999985,0.6019558,79.0,522,0.6152382226562501,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.040762087049232
SPY251003C00644000,2025-10-03 20:04:23+00:00,644.0,24.87,23.49,26.3,-0.87999916,-3.4174724,38.0,422,0.5979044116210939,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0391459968519507
SPY251003C00645000,2025-10-03 19:54:36+00:00,645.0,24.6,22.49,25.3,0.25,1.026694,955.0,1256,0.5803264624023439,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0375349177870639
SPY251003C00646000,2025-10-03 18:32:08+00:00,646.0,23.43,21.5,24.3,-0.23999977,-1.0139407,24.0,522,0.5627485131835939,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0359288265830593
SPY251003C00647000,2025-10-03 19:12:27+00:00,647.0,22.99,20.49,23.3,0.5300007,2.3597538,70.0,623,0.5449264257812501,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0343277001122972
SPY251003C00648000,2025-10-03 19:58:36+00:00,648.0,21.13,19.51,22.28,-0.710001,-3.2509203,36.0,904,0.524418818359375,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0327315153899017
SPY251003C00649000,2025-10-03 14:29:57+00:00,649.0,20.67,18.51,21.27,-0.10000038,-0.4814655,39.0,1017,0.5048877636718749,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0311402495726598
SPY251003C00650000,2025-10-03 20:05:33+00:00,650.0,18.9,17.51,20.27,-0.6700001,-3.423608,333.0,2675,0.4870656762695313,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0295538799579327
SPY251003C00651000,2025-10-03 19:57:46+00:00,651.0,18.13,16.51,19.27,-0.41000175,-2.2114441,143.0,1599,0.4689994506835938,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.027972383982575
SPY251003C00652000,2025-10-03 18:03:26+00:00,652.0,17.47,15.51,18.27,0.010000229,0.057275083,73.0,766,0.4506890869140625,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0263957392218654
SPY251003C00653000,2025-10-03 19:15:42+00:00,653.0,16.87,14.51,17.27,0.2800007,1.6877679,134.0,1740,0.43237872314453124,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0248239233884475
SPY251003C00654000,2025-10-03 19:54:13+00:00,654.0,15.53,13.51,16.27,-0.15000057,-0.9566363,202.0,1155,0.4138242211914062,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0232569143312786
SPY251003C00655000,2025-10-03 20:12:00+00:00,655.0,13.78,13.58,15.27,-0.8800001,-6.0027294,372.0,2413,0.39502558105468755,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0216946900345898
